date,session_id,player_id,position,sleep_score,readiness_score,hrv,resting_hr,fatigue_score,soreness_score,stress_score,cmj_height_cm,cmj_asymmetry_percent,vbt_mean_velocity,minutes_last_match,injury_flag
2024-07-05,SES0003,P013,CM,6.5,7.2,62.7,64,4.3,3.5,3.6,52.1,4.1,0.626,60,0
2024-07-05,SES0003,P014,LW,6.6,7.7,49.3,65,5.8,6.2,3.9,47.3,4.7,0.613,0,1
2024-07-05,SES0003,P015,LW,7.0,8.9,61.1,64,5.0,5.4,4.5,44.7,3.2,0.687,60,0
2024-07-05,SES0003,P016,RW,6.1,6.5,53.4,63,6.0,4.3,4.5,43.0,8.1,0.552,60,0
2024-07-05,SES0003,P017,RW,7.3,5.7,68.0,54,3.3,1.6,1.0,57.5,6.6,0.694,60,0
2024-07-05,SES0003,P018,CAM,8.2,5.7,67.1,56,3.6,3.3,5.4,50.4,3.9,0.628,0,0
2024-07-05,SES0003,P019,CAM,5.5,5.8,65.4,62,6.8,5.0,3.7,45.4,5.4,0.564,60,0
2024-07-05,SES0003,P020,ST,7.4,7.6,61.7,63,5.8,2.9,3.0,52.5,4.0,0.635,90,0
2024-07-05,SES0003,P021,ST,8.5,4.8,56.7,57,3.9,5.1,4.3,48.7,7.9,0.571,30,0
2024-07-05,SES0003,P022,ST,5.8,7.1,53.8,61,5.9,5.6,3.3,48.8,3.4,0.558,90,0
2024-07-07,SES0004,P001,GK,6.5,3.1,61.5,58,5.6,5.2,4.3,50.3,5.9,0.571,0,0
2024-07-07,SES0004,P002,CB,6.7,3.9,52.2,60,6.7,6.4,6.7,50.3,2.4,0.596,80,0
2024-07-07,SES0004,P003,CB,8.3,3.3,76.8,50,3.6,2.8,6.1,49.3,0.0,0.65,0,0
2024-07-07,SES0004,P004,CB,6.6,2.2,66.5,63,5.9,5.0,3.8,44.9,6.5,0.581,90,0
2024-07-07,SES0004,P005,LB,5.9,4.4,59.8,57,6.1,4.8,6.6,44.9,7.1,0.634,60,0
2024-07-07,SES0004,P006,LB,7.1,2.9,58.0,62,5.9,4.5,3.9,54.1,5.5,0.612,0,0
2024-07-07,SES0004,P007,RB,6.9,1.2,52.6,63,6.8,4.4,5.8,43.8,8.6,0.644,0,0
2024-07-07,SES0004,P008,RB,5.8,6.5,65.7,56,4.1,4.5,4.8,49.3,4.9,0.691,60,0
2024-07-07,SES0004,P009,CDM,5.1,5.1,53.4,64,5.6,5.7,4.5,47.9,2.0,0.659,60,0
2024-07-07,SES0004,P010,CDM,6.5,3.0,51.1,63,5.8,5.6,5.0,51.5,2.2,0.666,0,0
2024-07-07,SES0004,P011,CM,6.0,4.8,73.4,55,5.9,4.5,6.3,51.8,2.6,0.585,90,0
2024-07-07,SES0004,P012,CM,7.3,3.1,68.6,60,5.0,4.2,3.9,50.9,3.7,0.555,30,0
2024-07-07,SES0004,P013,CM,7.3,3.5,52.9,53,5.1,1.3,5.7,52.6,1.3,0.601,60,0
2024-07-07,SES0004,P014,LW,6.0,3.3,52.3,66,8.4,5.5,6.4,52.8,0.6,0.482,0,0
2024-07-07,SES0004,P015,LW,4.7,4.2,53.1,65,7.2,5.3,6.0,47.1,0.0,0.639,0,0
2024-07-07,SES0004,P016,RW,7.7,4.4,42.5,56,7.1,8.1,6.0,51.1,7.4,0.567,80,0
2024-07-07,SES0004,P017,RW,7.7,5.3,57.7,59,4.4,2.9,4.9,53.6,0.9,0.598,30,0
2024-07-07,SES0004,P018,CAM,5.9,3.6,60.0,59,5.8,1.7,3.6,48.6,7.7,0.6,30,0
2024-07-07,SES0004,P019,CAM,7.0,2.1,59.0,59,5.5,4.8,4.1,48.6,5.3,0.609,60,0
2024-07-07,SES0004,P020,ST,6.1,3.9,55.8,65,6.6,5.1,5.4,51.2,7.6,0.596,0,0
2024-07-07,SES0004,P021,ST,7.8,5.7,66.5,56,3.6,3.0,6.4,51.9,2.5,0.712,30,0
2024-07-07,SES0004,P022,ST,9.1,2.9,58.0,64,3.9,4.3,3.9,54.3,3.3,0.52,30,0
2024-07-09,SES0005,P001,GK,7.8,5.1,75.7,48,2.4,1.1,4.5,46.7,4.0,0.687,30,0
2024-07-09,SES0005,P002,CB,7.7,3.4,59.4,52,4.8,4.0,5.4,53.7,5.9,0.635,0,0
2024-07-09,SES0005,P003,CB,9.4,5.1,72.1,52,3.6,2.1,4.4,47.4,1.4,0.682,80,0
2024-07-09,SES0005,P004,CB,8.2,2.8,67.9,60,4.1,3.7,4.5,46.4,3.7,0.656,0,0
2024-07-09,SES0005,P005,LB,7.6,3.8,78.6,60,1.9,1.9,5.3,48.1,7.4,0.675,90,0
2024-07-09,SES0005,P006,LB,9.0,3.9,52.1,58,2.3,2.5,3.5,50.2,2.7,0.694,30,0
2024-07-09,SES0005,P007,RB,5.9,3.8,62.7,58,5.0,4.1,2.0,53.7,5.9,0.595,30,0
2024-07-09,SES0005,P008,RB,9.0,5.0,83.5,54,2.0,1.3,2.4,54.6,4.1,0.818,60,0
2024-07-09,SES0005,P009,CDM,8.4,4.0,66.4,60,3.3,4.2,4.7,52.6,2.9,0.708,30,0
2024-07-09,SES0005,P010,CDM,6.3,5.3,75.0,54,2.1,1.0,4.4,53.6,7.6,0.697,0,0
2024-07-09,SES0005,P011,CM,8.5,4.3,66.7,67,4.1,2.1,2.1,47.2,6.1,0.572,0,0
2024-07-09,SES0005,P012,CM,6.5,4.4,58.4,61,4.1,3.9,4.7,48.9,5.9,0.648,0,0
2024-07-09,SES0005,P013,CM,8.1,3.1,67.4,54,3.6,4.0,3.2,49.5,3.6,0.571,30,0
2024-07-09,SES0005,P014,LW,7.4,3.5,60.4,57,3.0,3.4,3.0,47.7,7.9,0.7,0,0
2024-07-09,SES0005,P015,LW,8.2,3.1,58.7,53,2.1,3.0,4.6,51.5,4.7,0.691,0,0
2024-07-09,SES0005,P016,RW,8.6,3.8,69.4,55,3.4,1.4,5.3,47.4,7.9,0.664,90,0
2024-07-09,SES0005,P017,RW,8.9,4.5,69.0,57,2.3,1.8,2.7,51.1,4.1,0.613,80,0
2024-07-09,SES0005,P018,CAM,8.8,4.4,73.1,55,1.0,1.1,2.7,56.7,3.4,0.698,30,0
2024-07-09,SES0005,P019,CAM,7.4,5.1,60.0,59,4.1,2.2,5.4,46.8,7.1,0.684,90,0
2024-07-09,SES0005,P020,ST,8.1,3.6,57.7,62,3.5,2.0,6.0,56.0,3.9,0.707,90,0
2024-07-09,SES0005,P021,ST,9.8,5.2,80.0,56,2.1,4.0,4.2,55.7,2.2,0.718,80,0
2024-07-09,SES0005,P022,ST,7.4,5.3,56.0,59,4.6,4.6,4.6,50.5,4.6,0.58,90,0
2024-07-11,SES0006,P001,GK,7.1,4.0,61.7,58,5.9,4.5,5.4,46.3,5.6,0.566,90,0
2024-07-11,SES0006,P002,CB,5.4,4.0,54.7,69,6.4,6.7,1.0,41.7,0.0,0.614,45,0
2024-07-11,SES0006,P003,CB,7.7,5.3,60.9,56,5.3,5.5,6.6,46.4,4.6,0.649,45,0
2024-07-11,SES0006,P004,CB,5.2,4.7,44.1,63,6.9,4.5,4.6,51.3,3.8,0.668,90,1
2024-07-11,SES0006,P005,LB,7.8,4.4,64.5,66,5.1,4.8,2.7,48.0,8.2,0.573,60,0
2024-07-11,SES0006,P006,LB,6.4,6.3,64.2,58,5.6,3.5,6.7,46.6,0.0,0.589,90,0
2024-07-11,SES0006,P007,RB,7.5,6.3,66.8,53,6.2,3.5,4.8,46.6,5.2,0.628,60,0
2024-07-11,SES0006,P008,RB,6.2,5.3,68.1,63,5.0,3.6,2.5,52.9,6.1,0.574,0,0
2024-07-11,SES0006,P009,CDM,5.7,6.5,62.5,57,5.4,4.4,5.4,56.0,7.9,0.642,60,0
2024-07-11,SES0006,P010,CDM,5.8,4.2,45.0,66,7.0,5.9,5.3,45.5,2.2,0.602,60,0
2024-07-11,SES0006,P011,CM,6.5,3.1,56.3,63,5.4,3.8,4.6,56.6,4.3,0.601,45,0
2024-07-11,SES0006,P012,CM,7.1,5.8,69.3,56,5.2,4.7,4.2,47.4,6.7,0.542,75,0
2024-07-11,SES0006,P013,CM,7.7,6.1,64.9,62,4.0,1.8,4.0,57.0,0.6,0.637,0,0
2024-07-11,SES0006,P014,LW,6.3,4.7,57.3,60,5.7,5.1,5.9,48.6,4.4,0.583,45,0
2024-07-11,SES0006,P015,LW,7.0,4.7,49.9,68,5.6,3.4,4.2,44.9,4.7,0.686,75,0
2024-07-11,SES0006,P016,RW,5.0,7.1,59.0,59,6.4,4.2,4.3,41.0,0.9,0.576,90,0
2024-07-11,SES0006,P017,RW,4.9,6.3,46.6,69,7.9,6.6,5.2,48.4,0.0,0.528,75,0
2024-07-11,SES0006,P018,CAM,8.9,5.4,57.3,67,5.3,4.8,5.2,42.9,4.4,0.597,45,0
2024-07-11,SES0006,P019,CAM,8.6,4.6,51.6,65,6.5,4.1,4.7,43.2,3.3,0.584,0,1
2024-07-11,SES0006,P020,ST,5.3,5.4,57.9,56,5.8,5.2,3.2,49.9,5.6,0.612,45,0
2024-07-11,SES0006,P021,ST,5.4,4.2,43.2,65,5.7,4.1,5.5,44.9,3.6,0.644,45,0
2024-07-11,SES0006,P022,ST,6.5,3.8,49.2,61,5.5,6.7,4.6,49.3,0.1,0.615,45,0
2024-07-13,SES0007,P001,GK,4.7,1.5,55.9,60,9.6,7.1,5.3,45.7,4.7,0.523,60,0
2024-07-13,SES0007,P002,CB,7.4,2.5,50.7,64,4.8,5.0,4.4,53.5,3.3,0.668,60,0
2024-07-13,SES0007,P003,CB,3.5,5.1,51.3,68,8.5,7.9,4.1,49.4,2.4,0.696,0,0
2024-07-13,SES0007,P004,CB,6.4,3.6,63.1,57,7.0,5.5,6.1,48.6,3.9,0.59,0,0
2024-07-13,SES0007,P005,LB,5.6,2.9,59.8,69,7.8,6.8,1.0,48.8,4.7,0.575,75,0
2024-07-13,SES0007,P006,LB,6.4,2.6,51.8,62,7.8,6.4,5.8,42.8,3.7,0.598,60,0
2024-07-13,SES0007,P007,RB,8.6,4.7,59.9,51,4.5,4.1,3.0,51.9,7.2,0.676,45,0
2024-07-13,SES0007,P008,RB,6.3,2.3,39.7,63,6.6,6.2,2.2,47.8,3.7,0.546,60,0
2024-07-13,SES0007,P009,CDM,4.2,5.3,52.7,72,8.8,6.4,4.0,45.1,0.7,0.576,60,0
2024-07-13,SES0007,P010,CDM,4.3,2.3,51.2,63,8.0,7.0,4.6,49.8,4.0,0.55,75,1
2024-07-13,SES0007,P011,CM,5.4,4.0,51.5,64,8.9,7.0,4.9,46.4,3.6,0.567,90,1
2024-07-13,SES0007,P012,CM,7.2,4.9,59.3,52,6.3,5.8,4.7,52.8,4.2,0.612,75,0
2024-07-13,SES0007,P013,CM,4.5,3.2,44.4,60,8.2,6.6,5.1,42.6,1.8,0.547,75,0
2024-07-13,SES0007,P014,LW,3.7,5.8,54.9,69,10.0,7.1,4.9,46.5,3.4,0.579,45,0
2024-07-13,SES0007,P015,LW,6.1,3.3,61.8,62,6.3,5.4,3.2,47.1,2.6,0.635,0,0
2024-07-13,SES0007,P016,RW,7.4,3.2,65.6,66,7.1,5.9,4.8,48.7,1.7,0.662,60,0
2024-07-13,SES0007,P017,RW,6.8,3.5,64.9,58,6.2,5.5,2.6,47.2,8.7,0.588,90,0
2024-07-13,SES0007,P018,CAM,5.5,2.0,49.9,57,7.3,5.4,5.8,47.5,1.6,0.542,75,0
2024-07-13,SES0007,P019,CAM,4.4,4.2,35.0,66,9.5,7.4,5.4,43.4,5.7,0.659,60,0
2024-07-13,SES0007,P020,ST,4.3,4.0,52.3,71,7.9,5.2,2.4,49.6,5.5,0.508,45,0
2024-07-13,SES0007,P021,ST,4.4,2.4,40.8,67,9.9,7.7,2.6,48.1,6.4,0.562,75,0
2024-07-13,SES0007,P022,ST,6.9,3.4,72.5,61,6.9,4.4,7.2,46.2,3.7,0.554,60,0
2024-07-15,SES0008,P001,GK,7.7,1.0,55.3,63,5.6,5.7,3.1,46.5,2.8,0.683,0,0
2024-07-15,SES0008,P002,CB,7.0,3.0,66.7,56,4.3,2.1,4.5,49.9,8.2,0.734,0,0
2024-07-15,SES0008,P003,CB,7.2,1.7,59.6,64,4.6,3.2,4.2,51.1,6.1,0.628,60,0
2024-07-15,SES0008,P004,CB,6.8,3.5,57.5,51,4.6,4.5,5.0,49.0,6.4,0.651,80,0
2024-07-15,SES0008,P005,LB,5.9,3.3,59.3,65,4.3,3.6,6.4,48.3,3.2,0.607,30,0
2024-07-15,SES0008,P006,LB,6.4,4.3,72.7,59,4.1,4.2,2.6,46.5,8.4,0.632,0,0
2024-07-15,SES0008,P007,RB,7.8,2.2,59.7,54,3.2,1.7,4.2,55.5,7.1,0.703,90,0
2024-07-15,SES0008,P008,RB,8.8,1.8,67.2,61,4.6,3.2,2.5,43.5,2.2,0.715,0,0
2024-07-15,SES0008,P009,CDM,6.7,3.7,67.4,56,5.1,4.2,3.2,47.2,1.5,0.622,90,0
2024-07-15,SES0008,P010,CDM,6.6,3.0,45.2,63,6.0,3.9,4.5,53.1,5.7,0.708,0,0
2024-07-15,SES0008,P011,CM,7.3,2.5,50.1,56,5.3,2.4,7.2,49.8,3.8,0.543,30,0
2024-07-15,SES0008,P012,CM,8.9,4.0,54.1,60,5.2,2.3,3.7,47.6,1.4,0.556,60,0
2024-07-15,SES0008,P013,CM,9.6,4.4,60.9,55,3.3,2.7,4.4,54.2,0.0,0.593,80,0
2024-07-15,SES0008,P014,LW,8.9,3.8,43.7,57,4.2,5.2,5.0,45.9,6.3,0.636,60,0
2024-07-15,SES0008,P015,LW,6.0,2.5,47.2,55,5.5,5.1,5.0,44.5,6.5,0.534,30,0
2024-07-15,SES0008,P016,RW,6.3,4.4,78.0,63,4.9,3.8,3.8,50.6,4.2,0.636,30,0
2024-07-15,SES0008,P017,RW,5.0,1.0,59.1,57,6.4,4.6,4.8,50.4,3.5,0.568,30,0
2024-07-15,SES0008,P018,CAM,7.0,2.3,77.7,49,2.9,2.3,5.1,50.9,7.2,0.596,60,0
2024-07-15,SES0008,P019,CAM,7.5,2.7,69.7,59,4.0,2.8,3.6,52.6,5.2,0.684,30,0
2024-07-15,SES0008,P020,ST,5.8,2.1,55.1,60,5.8,5.5,6.2,50.5,0.0,0.627,0,0
2024-07-15,SES0008,P021,ST,9.2,2.8,58.8,58,3.6,4.0,6.3,52.2,4.9,0.635,0,0
2024-07-15,SES0008,P022,ST,8.1,3.7,62.6,58,4.7,3.2,5.9,46.0,2.8,0.571,0,0
2024-07-17,SES0009,P001,GK,4.9,5.8,39.1,65,7.9,6.4,3.5,43.8,2.0,0.502,60,0
2024-07-17,SES0009,P002,CB,5.7,5.3,51.3,63,7.4,6.7,4.2,48.9,1.3,0.61,60,0
2024-07-17,SES0009,P003,CB,5.8,4.3,70.1,66,5.5,2.7,4.6,46.5,5.7,0.551,90,0
2024-07-17,SES0009,P004,CB,6.2,4.1,77.4,55,6.1,6.0,2.3,57.6,3.7,0.609,90,0
2024-07-17,SES0009,P005,LB,6.7,6.1,67.6,56,4.6,3.9,3.9,50.7,3.6,0.667,75,0
2024-07-17,SES0009,P006,LB,8.7,4.0,69.5,55,3.0,1.0,6.6,45.0,3.4,0.676,75,0
2024-07-17,SES0009,P007,RB,4.8,5.4,56.5,62,7.8,4.2,3.4,52.2,5.5,0.529,45,0
2024-07-17,SES0009,P008,RB,4.8,6.2,69.4,54,5.2,2.5,4.6,48.5,5.5,0.613,75,0
2024-07-17,SES0009,P009,CDM,6.1,6.6,40.9,61,6.1,5.1,3.3,49.4,5.6,0.563,90,0
2024-07-17,SES0009,P010,CDM,7.3,5.7,70.4,64,4.3,3.3,6.8,43.1,3.7,0.563,75,0
2024-07-17,SES0009,P011,CM,8.6,4.3,64.1,55,4.0,1.7,4.0,49.4,8.2,0.636,45,0
2024-07-17,SES0009,P012,CM,7.8,4.8,55.9,56,5.1,3.6,4.3,57.7,3.8,0.488,0,0
2024-07-17,SES0009,P013,CM,7.9,5.3,63.2,58,5.1,3.2,7.8,55.5,7.9,0.665,60,0
2024-07-17,SES0009,P014,LW,8.6,7.2,66.8,60,4.8,4.6,5.1,57.9,2.7,0.719,75,0
2024-07-17,SES0009,P015,LW,6.1,3.3,65.6,66,5.3,2.6,5.3,53.0,6.6,0.61,90,0
2024-07-17,SES0009,P016,RW,5.1,4.6,68.2,59,4.8,4.0,4.6,53.6,5.0,0.616,90,0
2024-07-17,SES0009,P017,RW,6.3,4.1,55.3,66,6.7,5.9,5.1,46.3,2.6,0.585,60,0
2024-07-17,SES0009,P018,CAM,8.7,3.6,70.3,44,3.9,2.4,2.8,50.6,4.4,0.594,90,0
2024-07-17,SES0009,P019,CAM,6.5,4.4,55.5,65,4.9,4.2,3.3,51.1,2.6,0.609,45,0
2024-07-17,SES0009,P020,ST,5.7,4.2,47.7,62,6.1,5.4,3.9,48.8,5.7,0.642,75,0
2024-07-17,SES0009,P021,ST,6.7,6.3,55.0,56,5.0,5.3,3.5,52.4,3.5,0.601,90,0
2024-07-17,SES0009,P022,ST,6.8,2.6,65.2,57,4.5,4.4,4.4,50.3,2.3,0.629,45,0
2024-07-19,SES0010,P001,GK,3.9,2.8,53.1,71,8.9,6.3,4.3,47.9,5.7,0.572,60,0
2024-07-19,SES0010,P002,CB,4.6,4.8,45.6,66,7.4,6.3,3.2,44.7,4.5,0.555,60,0
2024-07-19,SES0010,P003,CB,6.7,4.7,62.0,60,5.6,5.1,3.1,51.4,3.2,0.621,60,0
2024-07-19,SES0010,P004,CB,7.1,3.4,49.1,57,5.4,4.1,3.7,46.6,9.4,0.604,45,0
2024-07-19,SES0010,P005,LB,5.1,3.0,62.0,57,5.8,5.0,5.1,49.3,3.9,0.578,75,0
2024-07-19,SES0010,P006,LB,6.5,3.6,68.3,58,5.6,4.6,2.9,50.9,0.0,0.613,75,0
2024-07-19,SES0010,P007,RB,5.1,2.6,56.9,62,6.3,6.9,4.6,45.2,5.7,0.574,60,0
2024-07-19,SES0010,P008,RB,4.2,1.1,42.5,65,7.9,5.5,3.4,49.7,6.7,0.592,90,0
2024-07-19,SES0010,P009,CDM,5.3,2.3,49.6,63,9.3,8.5,4.5,46.0,0.0,0.545,90,0
2024-07-19,SES0010,P010,CDM,5.3,5.6,49.2,64,7.4,5.5,5.1,50.1,6.7,0.61,90,0
2024-07-19,SES0010,P011,CM,5.2,5.3,57.8,65,6.4,5.6,5.5,46.8,6.7,0.611,75,0
2024-07-19,SES0010,P012,CM,6.4,3.8,47.2,61,6.4,4.7,4.4,52.4,5.9,0.623,75,0
2024-07-19,SES0010,P013,CM,4.2,2.4,54.4,65,7.5,5.6,4.6,52.1,6.0,0.556,90,0
2024-07-19,SES0010,P014,LW,5.5,3.8,66.3,60,6.9,4.5,4.3,47.5,2.3,0.545,60,0
2024-07-19,SES0010,P015,LW,6.4,4.2,51.9,55,5.7,4.6,2.3,54.0,5.4,0.525,60,0
2024-07-19,SES0010,P016,RW,6.1,5.0,56.7,64,6.7,5.6,3.2,44.2,3.4,0.577,90,0
2024-07-19,SES0010,P017,RW,6.9,3.0,52.9,58,5.4,4.8,1.0,45.7,3.4,0.666,60,0
2024-07-19,SES0010,P018,CAM,6.4,2.9,50.0,68,6.5,5.3,5.1,48.6,3.5,0.627,75,0
2024-07-19,SES0010,P019,CAM,5.2,4.1,49.8,60,6.6,4.5,6.5,51.6,1.0,0.557,75,0
2024-07-19,SES0010,P020,ST,7.0,2.9,59.9,61,5.1,3.2,2.8,44.6,2.1,0.667,75,0
2024-07-19,SES0010,P021,ST,5.4,2.3,46.4,57,6.7,5.6,4.5,54.1,6.2,0.673,90,0
2024-07-19,SES0010,P022,ST,5.2,2.7,55.2,70,8.0,7.6,2.5,47.0,6.6,0.529,75,0
2024-07-21,SES0011,P001,GK,6.6,5.5,48.2,58,6.3,4.8,3.6,49.8,5.7,0.5,80,0
2024-07-21,SES0011,P002,CB,7.6,7.3,60.7,54,4.9,3.6,5.5,43.6,5.2,0.707,0,0
2024-07-21,SES0011,P003,CB,5.4,6.6,48.3,58,6.0,5.7,2.7,52.6,0.1,0.62,30,0
2024-07-21,SES0011,P004,CB,5.2,3.2,45.9,61,6.1,5.2,6.3,48.5,7.6,0.534,90,0
2024-07-21,SES0011,P005,LB,4.7,4.5,62.2,62,6.7,5.7,2.8,47.2,0.9,0.462,0,0
2024-07-21,SES0011,P006,LB,5.6,5.5,69.3,60,4.2,3.0,2.6,57.1,6.9,0.481,0,0
2024-07-21,SES0011,P007,RB,6.8,5.2,57.3,57,6.8,5.3,6.0,47.4,5.7,0.61,90,0
2024-07-21,SES0011,P008,RB,6.4,5.6,50.8,53,6.0,4.3,6.0,48.2,3.7,0.607,90,0
2024-07-21,SES0011,P009,CDM,6.1,6.3,53.9,60,6.3,3.3,2.4,46.8,3.1,0.636,60,0
