session_id,date,team_category,md_day,exercise_id,exercise_name,exercise_type,objective_primary,weather,temp_c,team_fatigue_score,readiness_score,avg_total_distance_m,avg_distance_per_min,avg_hsr_m,avg_sprint_distance_m,avg_percent_max_speed,avg_accelerations,avg_decelerations,avg_player_load,avg_metabolic_power,avg_hr_mean,avg_hr_max,rpe_mean
SES0005,2024-07-09,B_Team,MD3,EX004,SSG_5v5_30x25_Transition,small_sided_game,mixed_conditioning,Clear,18.7,3.6,4.4,731.84,102.88,60.58,34.43,69.19,17,21,97.12,12.93,86,97,8.4
SES0005,2024-07-09,B_Team,MD3,EX029,Transition_5v5_35x30_Counter,transition_game,mixed_conditioning,Clear,18.7,3.6,4.4,718.52,86.42,68.42,37.9,68.97,27,22,92.21,12.11,95,99,6.8
SES0006,2024-07-11,B_Team,MD_plus2,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Light_Rain,10.1,6.0,5.5,447.91,30.27,3.12,0.0,15.0,2,2,16.15,3.41,50,55,1.8
SES0006,2024-07-11,B_Team,MD_plus2,EX023,Activation_Passing_8v0,activation_drill,activation,Light_Rain,10.1,6.0,5.5,308.16,24.54,1.67,0.0,15.0,3,3,13.67,2.89,50,55,1.5
SES0006,2024-07-11,B_Team,MD_plus2,EX028,Possession_8v8_50x35_Neutral,possession_game,aerobic_conditioning,Light_Rain,10.1,6.0,5.5,590.62,47.21,60.59,14.81,44.1,11,10,55.93,6.71,56,64,5.3
SES0006,2024-07-11,B_Team,MD_plus2,EX027,Possession_6v6_40x30_Neutral,possession_game,aerobic_conditioning,Light_Rain,10.1,6.0,5.5,407.5,46.45,24.25,6.03,39.15,14,10,48.0,6.85,58,65,4.7
SES0007,2024-07-13,First_Team,MD_plus2,EX023,Activation_Passing_8v0,activation_drill,activation,Overcast,11.2,7.8,3.3,256.37,25.71,1.59,0.0,15.0,3,3,14.49,2.68,50,55,1.4
SES0007,2024-07-13,First_Team,MD_plus2,EX028,Possession_8v8_50x35_Neutral,possession_game,aerobic_conditioning,Overcast,11.2,7.8,3.3,521.26,46.64,57.75,17.3,39.5,11,10,59.16,6.86,55,61,4.7
SES0007,2024-07-13,First_Team,MD_plus2,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Overcast,11.2,7.8,3.3,387.17,29.36,3.37,0.0,15.0,2,2,16.05,2.94,50,55,1.6
SES0007,2024-07-13,First_Team,MD_plus2,EX033,SSG_4v4_20x15_Regen,small_sided_game,recovery,Overcast,11.2,7.8,3.3,561.22,32.73,8.28,0.0,20.35,4,4,25.7,3.73,50,55,2.1
SES0007,2024-07-13,First_Team,MD_plus2,EX025,Recovery_Game_5v5_40x35,recovery_drill,recovery,Overcast,11.2,7.8,3.3,535.45,37.24,9.11,0.0,22.51,4,4,25.38,3.66,50,55,2.1
SES0007,2024-07-13,First_Team,MD_plus2,EX008,Rondo_6v3_20x15,rondo,aerobic_conditioning,Overcast,11.2,7.8,3.3,223.78,34.42,5.88,0.0,23.26,9,6,27.93,3.83,50,55,2.4
SES0008,2024-07-15,B_Team,MD3,EX037,Possession_4v4_2Neutral_25x20,possession_game,aerobic_conditioning,Clear,21.4,4.4,3.0,512.95,68.79,31.47,10.41,55.02,17,14,72.83,8.06,85,93,6.2
SES0008,2024-07-15,B_Team,MD3,EX036,Accel_Change_Direction_15m,sprint_drill,acceleration_development,Clear,21.4,4.4,3.0,110.07,120.55,9.85,4.8,56.13,14,16,70.34,16.4,82,89,7.1
SES0008,2024-07-15,B_Team,MD3,EX011,LargeGame_9v9_65x45_Transition,large_sided_game,aerobic_conditioning,Clear,21.4,4.4,3.0,910.68,93.34,121.08,49.25,65.44,18,16,103.52,11.82,83,96,7.6
SES0008,2024-07-15,B_Team,MD3,EX030,Transition_6v6_40x35_Wide,transition_game,mixed_conditioning,Clear,21.4,4.4,3.0,925.62,109.03,96.61,75.18,76.94,21,15,114.04,12.16,79,92,6.3
SES0008,2024-07-15,B_Team,MD3,EX012,LargeGame_10v10_70x50_Open,large_sided_game,aerobic_conditioning,Clear,21.4,4.4,3.0,879.08,94.62,133.27,60.77,79.12,13,12,109.62,10.83,83,87,7.4
SES0009,2024-07-17,Academy_U18,MD_plus2,EX027,Possession_6v6_40x30_Neutral,possession_game,aerobic_conditioning,Cloudy,13.0,5.2,4.8,360.98,47.0,18.32,5.68,39.42,11,12,48.06,6.04,56,63,4.4
SES0009,2024-07-17,Academy_U18,MD_plus2,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Cloudy,13.0,5.2,4.8,383.81,32.62,3.6,0.0,15.98,2,2,18.81,3.19,50,55,1.7
SES0009,2024-07-17,Academy_U18,MD_plus2,EX009,Rondo_8v3_25x20_Directional,rondo,aerobic_conditioning,Cloudy,13.0,5.2,4.8,198.95,32.05,6.83,0.0,22.6,8,7,33.96,4.3,50,56,2.3
SES0009,2024-07-17,Academy_U18,MD_plus2,EX033,SSG_4v4_20x15_Regen,small_sided_game,recovery,Cloudy,13.0,5.2,4.8,584.08,35.99,8.61,0.0,20.11,5,4,25.08,4.41,50,55,2.5
SES0009,2024-07-17,Academy_U18,MD_plus2,EX023,Activation_Passing_8v0,activation_drill,activation,Cloudy,13.0,5.2,4.8,285.67,25.27,1.4,0.0,15.0,3,4,12.74,3.0,50,55,1.4
SES0010,2024-07-19,Academy_U18,MD_plus1,EX025,Recovery_Game_5v5_40x35,recovery_drill,recovery,Clear,31.8,6.6,3.1,454.46,29.29,8.04,0.0,16.06,4,3,17.89,3.07,50,55,1.8
SES0010,2024-07-19,Academy_U18,MD_plus1,EX033,SSG_4v4_20x15_Regen,small_sided_game,recovery,Clear,31.8,6.6,3.1,417.2,30.57,7.43,0.0,15.01,3,3,18.01,3.21,50,55,1.5
SES0010,2024-07-19,Academy_U18,MD_plus1,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Clear,31.8,6.6,3.1,313.22,22.26,2.44,0.0,15.0,2,2,12.61,2.43,50,55,1.3
SES0011,2024-07-21,Academy_U18,MD3,EX004,SSG_5v5_30x25_Transition,small_sided_game,mixed_conditioning,Clear,28.9,5.6,5.3,660.49,100.38,63.44,29.61,65.85,23,19,95.89,11.37,88,94,8.0
SES0011,2024-07-21,Academy_U18,MD3,EX036,Accel_Change_Direction_15m,sprint_drill,acceleration_development,Clear,28.9,5.6,5.3,153.94,116.45,9.52,4.76,60.35,11,14,59.39,16.49,80,96,7.4
SES0011,2024-07-21,Academy_U18,MD3,EX016,Accel_Sprint_10m_x8,sprint_drill,acceleration_development,Clear,28.9,5.6,5.3,88.03,95.02,3.44,0.0,57.42,11,14,56.37,15.92,80,96,6.9
SES0011,2024-07-21,Academy_U18,MD3,EX011,LargeGame_9v9_65x45_Transition,large_sided_game,aerobic_conditioning,Clear,28.9,5.6,5.3,918.08,86.91,96.7,67.82,68.15,16,14,113.96,10.76,86,91,7.3
SES0012,2024-07-23,U23,MD1,EX031,Shadow_Play_11v0_Shape,activation_drill,activation,Light_Rain,17.7,2.5,6.5,529.02,31.11,7.94,0.0,18.13,4,3,17.84,2.73,50,55,1.8
SES0012,2024-07-23,U23,MD1,EX023,Activation_Passing_8v0,activation_drill,activation,Light_Rain,17.7,2.5,6.5,275.64,24.77,1.9,0.0,15.0,3,3,14.4,2.65,50,55,1.6
SES0012,2024-07-23,U23,MD1,EX006,Rondo_4v2_10x10,rondo,technical_conditioning,Light_Rain,17.7,2.5,6.5,226.52,32.06,2.44,0.0,19.88,6,4,23.82,3.49,50,55,2.1
SES0012,2024-07-23,U23,MD1,EX024,Activation_Positional_10v0,activation_drill,activation,Light_Rain,17.7,2.5,6.5,531.97,33.43,5.8,0.0,17.33,4,3,17.43,3.12,50,55,1.8
SES0012,2024-07-23,U23,MD1,EX032,Setpiece_Attack_Corners,finishing_drill,technical,Light_Rain,17.7,2.5,6.5,207.85,22.26,4.45,1.67,20.88,4,5,17.77,3.54,50,55,2.0
SES0012,2024-07-23,U23,MD1,EX007,Rondo_6v2_15x15,rondo,technical_conditioning,Light_Rain,17.7,2.5,6.5,187.88,31.98,2.82,0.0,18.96,6,5,23.78,2.79,50,57,2.0
SES0013,2024-07-25,B_Team,MD2,EX035,Speed_Endurance_60m_x4,sprint_drill,speed_endurance,Clear,27.6,4.2,5.6,439.15,139.36,211.7,238.87,86.4,6,5,81.43,12.27,78,94,7.8
SES0013,2024-07-25,B_Team,MD2,EX014,Flying_Sprint_30m,sprint_drill,speed_development,Clear,27.6,4.2,5.6,255.51,138.8,80.25,75.64,92.93,3,5,64.3,12.89,78,85,7.2
SES0013,2024-07-25,B_Team,MD2,EX018,Transition_Sprint_40m,sprint_drill,speed_development,Clear,27.6,4.2,5.6,325.04,159.22,108.31,92.18,76.08,5,7,61.03,14.54,72,94,7.2
SES0013,2024-07-25,B_Team,MD2,EX012,LargeGame_10v10_70x50_Open,large_sided_game,aerobic_conditioning,Clear,27.6,4.2,5.6,842.57,81.75,109.69,56.32,72.5,15,14,100.86,9.87,79,83,6.1
SES0014,2024-07-27,B_Team,MD4,EX003,SSG_5v5_30x25_Possession,small_sided_game,aerobic_conditioning,Cloudy,20.5,4.7,6.7,824.96,120.52,70.7,25.75,77.38,23,25,101.63,15.03,100,100,10.0
SES0014,2024-07-27,B_Team,MD4,EX001,SSG_3v3_20x15_Pressing,small_sided_game,high_intensity_conditioning,Cloudy,20.5,4.7,6.7,838.81,126.01,34.93,9.36,65.68,33,32,105.28,13.73,100,100,8.1
SES0014,2024-07-27,B_Team,MD4,EX021,PressingGame_5v5_30x25_High,pressing_drill,high_intensity_conditioning,Cloudy,20.5,4.7,6.7,625.71,102.26,55.87,27.5,68.79,46,35,125.37,13.7,100,100,9.8
SES0014,2024-07-27,B_Team,MD4,EX038,PressingTrap_6v4_35x25,pressing_drill,high_intensity_conditioning,Cloudy,20.5,4.7,6.7,839.64,112.19,75.12,20.88,72.79,43,30,141.45,15.54,100,100,10.0
SES0015,2024-07-29,First_Team,MD2,EX017,Accel_Sprint_15m_x6,sprint_drill,acceleration_development,Cloudy,13.2,5.1,4.1,110.16,93.4,12.25,7.72,58.73,12,10,56.89,16.32,77,87,6.5
SES0015,2024-07-29,First_Team,MD2,EX018,Transition_Sprint_40m,sprint_drill,speed_development,Cloudy,13.2,5.1,4.1,279.49,169.25,96.62,107.77,76.29,6,7,67.39,13.37,78,89,7.7
SES0015,2024-07-29,First_Team,MD2,EX015,Flying_Sprint_20m,sprint_drill,speed_development,Cloudy,13.2,5.1,4.1,179.06,127.6,52.69,56.78,86.62,4,4,51.66,13.08,75,85,7.0
SES0015,2024-07-29,First_Team,MD2,EX035,Speed_Endurance_60m_x4,sprint_drill,speed_endurance,Cloudy,13.2,5.1,4.1,477.75,161.07,133.85,215.38,84.07,6,6,81.0,13.06,89,90,7.6
SES0015,2024-07-29,First_Team,MD2,EX020,Finishing_5v4_30x25,finishing_drill,mixed_conditioning,Cloudy,13.2,5.1,4.1,445.91,72.99,30.46,15.76,59.07,13,13,56.13,8.81,75,87,7.0
SES0016,2024-07-31,First_Team,MD2,EX019,Finishing_4v3_25x20,finishing_drill,mixed_conditioning,Overcast,19.9,3.5,7.2,413.07,72.42,29.14,18.87,63.86,17,15,76.83,9.38,77,89,6.1
SES0016,2024-07-31,First_Team,MD2,EX018,Transition_Sprint_40m,sprint_drill,speed_development,Overcast,19.9,3.5,7.2,325.93,187.27,118.44,98.75,82.59,7,6,74.73,13.55,77,98,8.7
SES0016,2024-07-31,First_Team,MD2,EX035,Speed_Endurance_60m_x4,sprint_drill,speed_endurance,Overcast,19.9,3.5,7.2,466.71,153.78,184.94,228.97,87.29,7,6,83.23,10.99,83,96,9.9
SES0016,2024-07-31,First_Team,MD2,EX014,Flying_Sprint_30m,sprint_drill,speed_development,Overcast,19.9,3.5,7.2,263.73,140.47,78.85,99.94,100.0,4,5,69.58,14.59,87,94,6.7
SES0016,2024-07-31,First_Team,MD2,EX015,Flying_Sprint_20m,sprint_drill,speed_development,Overcast,19.9,3.5,7.2,208.08,143.72,66.08,69.43,98.81,5,5,51.96,14.62,80,94,5.9
SES0017,2024-08-02,First_Team,MD3,EX029,Transition_5v5_35x30_Counter,transition_game,mixed_conditioning,Clear,19.1,5.4,5.0,736.62,94.75,71.61,31.81,74.33,24,26,99.13,11.38,87,100,7.8
SES0017,2024-08-02,First_Team,MD3,EX010,LargeGame_8v8_60x40_Possession,large_sided_game,aerobic_conditioning,Clear,19.1,5.4,5.0,937.66,95.36,114.72,56.62,74.03,18,13,112.99,10.07,88,90,7.2
SES0017,2024-08-02,First_Team,MD3,EX036,Accel_Change_Direction_15m,sprint_drill,acceleration_development,Clear,19.1,5.4,5.0,136.61,124.05,10.07,3.7,70.12,13,12,73.65,16.58,78,95,7.5
SES0017,2024-08-02,First_Team,MD3,EX017,Accel_Sprint_15m_x6,sprint_drill,acceleration_development,Clear,19.1,5.4,5.0,115.77,92.52,13.69,8.98,68.7,15,9,51.75,15.36,80,93,6.9
SES0017,2024-08-02,First_Team,MD3,EX003,SSG_5v5_30x25_Possession,small_sided_game,aerobic_conditioning,Clear,19.1,5.4,5.0,733.97,92.73,79.41,25.07,70.49,23,21,106.27,12.42,91,100,8.1
SES0018,2024-08-04,Academy_U18,MD4,EX013,LargeGame_8v8_60x40_Pressing,large_sided_game,high_intensity_conditioning,Cloudy,18.7,4.7,6.4,814.78,121.46,99.1,40.68,80.34,26,28,124.46,13.57,95,100,7.1
SES0018,2024-08-04,Academy_U18,MD4,EX022,PressingGame_6v6_35x30_Mid,pressing_drill,high_intensity_conditioning,Cloudy,18.7,4.7,6.4,583.07,118.54,71.58,25.04,68.47,35,33,111.7,16.42,100,100,9.6
SES0018,2024-08-04,Academy_U18,MD4,EX004,SSG_5v5_30x25_Transition,small_sided_game,mixed_conditioning,Cloudy,18.7,4.7,6.4,836.09,100.49,73.57,26.11,71.63,25,29,123.25,13.2,100,100,10.0
SES0018,2024-08-04,Academy_U18,MD4,EX021,PressingGame_5v5_30x25_High,pressing_drill,high_intensity_conditioning,Cloudy,18.7,4.7,6.4,683.66,107.46,70.79,24.92,76.59,38,37,117.83,16.2,100,100,9.0
SES0018,2024-08-04,Academy_U18,MD4,EX001,SSG_3v3_20x15_Pressing,small_sided_game,high_intensity_conditioning,Cloudy,18.7,4.7,6.4,840.47,118.87,42.62,10.82,66.69,34,32,106.27,13.46,100,100,9.8
SES0018,2024-08-04,Academy_U18,MD4,EX034,Hybrid_8v8_55x40_Pressing,large_sided_game,high_intensity_conditioning,Cloudy,18.7,4.7,6.4,870.56,108.77,108.22,44.13,78.49,22,27,138.11,13.53,100,100,8.0
SES0018,2024-08-04,Academy_U18,MD4,EX005,SSG_6v6_35x30_Pressing,small_sided_game,high_intensity_conditioning,Cloudy,18.7,4.7,6.4,837.28,125.84,94.17,27.16,81.14,26,23,125.53,14.56,96,100,10.0
SES0019,2024-08-06,Academy_U18,MD3,EX037,Possession_4v4_2Neutral_25x20,possession_game,aerobic_conditioning,Clear,28.8,4.4,6.0,572.47,66.49,27.64,8.1,56.6,20,16,75.58,7.07,84,87,6.4
SES0019,2024-08-06,Academy_U18,MD3,EX004,SSG_5v5_30x25_Transition,small_sided_game,mixed_conditioning,Clear,28.8,4.4,6.0,640.16,92.48,76.85,23.52,67.48,22,22,102.32,10.77,92,95,6.7
SES0019,2024-08-06,Academy_U18,MD3,EX012,LargeGame_10v10_70x50_Open,large_sided_game,aerobic_conditioning,Clear,28.8,4.4,6.0,880.03,101.14,125.19,57.62,71.69,16,19,115.29,11.05,88,95,7.4
SES0019,2024-08-06,Academy_U18,MD3,EX011,LargeGame_9v9_65x45_Transition,large_sided_game,aerobic_conditioning,Clear,28.8,4.4,6.0,899.12,91.07,111.29,68.12,73.45,18,15,112.57,8.97,88,96,8.4
SES0019,2024-08-06,Academy_U18,MD3,EX017,Accel_Sprint_15m_x6,sprint_drill,acceleration_development,Clear,28.8,4.4,6.0,90.23,116.57,11.97,9.58,64.84,13,9,56.04,18.76,80,93,7.7
SES0019,2024-08-06,Academy_U18,MD3,EX010,LargeGame_8v8_60x40_Possession,large_sided_game,aerobic_conditioning,Clear,28.8,4.4,6.0,956.13,92.49,117.59,84.48,72.97,17,17,121.76,11.69,87,91,8.9
SES0020,2024-08-08,Academy_U18,MD_plus2,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Cloudy,13.3,5.4,4.4,424.87,29.14,3.72,0.0,17.19,2,2,19.18,3.28,50,55,1.9
SES0020,2024-08-08,Academy_U18,MD_plus2,EX023,Activation_Passing_8v0,activation_drill,activation,Cloudy,13.3,5.4,4.4,263.4,29.67,1.39,0.0,15.0,3,2,12.6,3.21,50,55,1.1
SES0020,2024-08-08,Academy_U18,MD_plus2,EX033,SSG_4v4_20x15_Regen,small_sided_game,recovery,Cloudy,13.3,5.4,4.4,537.01,34.25,13.14,0.0,20.48,5,4,24.28,3.13,51,55,1.8
SES0020,2024-08-08,Academy_U18,MD_plus2,EX009,Rondo_8v3_25x20_Directional,rondo,aerobic_conditioning,Cloudy,13.3,5.4,4.4,272.22,41.69,6.8,0.0,23.6,8,7,27.67,3.95,50,56,2.6
SES0020,2024-08-08,Academy_U18,MD_plus2,EX027,Possession_6v6_40x30_Neutral,possession_game,aerobic_conditioning,Cloudy,13.3,5.4,4.4,332.04,48.1,18.41,4.69,37.44,15,13,43.59,5.9,58,62,4.5
SES0021,2024-08-10,U23,MD2,EX012,LargeGame_10v10_70x50_Open,large_sided_game,aerobic_conditioning,Clear,33.5,5.1,4.8,719.87,78.37,104.47,40.64,67.18,15,15,101.78,10.59,76,83,6.9
SES0021,2024-08-10,U23,MD2,EX017,Accel_Sprint_15m_x6,sprint_drill,acceleration_development,Clear,33.5,5.1,4.8,114.41,91.21,10.97,6.46,59.35,9,11,47.48,13.74,70,85,6.2
SES0021,2024-08-10,U23,MD2,EX014,Flying_Sprint_30m,sprint_drill,speed_development,Clear,33.5,5.1,4.8,283.1,121.26,75.56,66.94,94.39,3,5,62.08,13.15,74,85,6.4
SES0021,2024-08-10,U23,MD2,EX035,Speed_Endurance_60m_x4,sprint_drill,speed_endurance,Clear,33.5,5.1,4.8,448.48,155.25,214.25,182.14,70.91,5,7,76.55,12.85,84,87,8.2
SES0021,2024-08-10,U23,MD2,EX015,Flying_Sprint_20m,sprint_drill,speed_development,Clear,33.5,5.1,4.8,208.44,119.46,52.98,53.59,80.24,3,3,45.57,12.79,73,80,6.1
SES0021,2024-08-10,U23,MD2,EX018,Transition_Sprint_40m,sprint_drill,speed_development,Clear,33.5,5.1,4.8,342.01,136.87,95.66,119.63,74.19,8,7,61.76,12.22,77,87,7.2
SES0022,2024-08-12,U23,MD_plus2,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Clear,33.8,5.6,4.2,404.41,25.51,3.05,0.0,15.96,2,2,16.59,3.14,50,55,1.8
SES0022,2024-08-12,U23,MD_plus2,EX008,Rondo_6v3_20x15,rondo,aerobic_conditioning,Clear,33.8,5.6,4.2,242.41,33.31,5.55,0.0,22.71,8,6,23.12,3.19,50,55,2.0
SES0022,2024-08-12,U23,MD_plus2,EX033,SSG_4v4_20x15_Regen,small_sided_game,recovery,Clear,33.8,5.6,4.2,563.71,42.38,10.2,0.0,20.53,4,4,23.28,3.82,50,55,2.2
SES0023,2024-08-14,Academy_U18,MD_plus2,EX025,Recovery_Game_5v5_40x35,recovery_drill,recovery,Light_Rain,10.2,6.3,3.1,511.16,36.92,10.41,0.0,21.45,4,4,27.04,3.99,50,55,1.9
SES0023,2024-08-14,Academy_U18,MD_plus2,EX028,Possession_8v8_50x35_Neutral,possession_game,aerobic_conditioning,Light_Rain,10.2,6.3,3.1,486.77,47.92,44.0,21.04,44.47,10,10,57.3,5.56,54,63,4.2
SES0023,2024-08-14,Academy_U18,MD_plus2,EX033,SSG_4v4_20x15_Regen,small_sided_game,recovery,Light_Rain,10.2,6.3,3.1,586.16,40.79,12.21,0.0,22.72,4,3,23.14,3.73,50,55,2.1
SES0023,2024-08-14,Academy_U18,MD_plus2,EX027,Possession_6v6_40x30_Neutral,possession_game,aerobic_conditioning,Light_Rain,10.2,6.3,3.1,382.44,48.72,24.33,6.41,32.93,9,12,43.34,6.14,52,59,4.8
SES0023,2024-08-14,Academy_U18,MD_plus2,EX009,Rondo_8v3_25x20_Directional,rondo,aerobic_conditioning,Light_Rain,10.2,6.3,3.1,259.93,33.36,3.54,0.0,22.77,6,6,26.38,4.0,50,55,3.0
SES0024,2024-08-16,First_Team,MD_plus1,EX025,Recovery_Game_5v5_40x35,recovery_drill,recovery,Clear,31.6,7.3,3.0,422.64,27.36,8.05,0.0,15.15,3,3,18.94,2.86,50,55,2.0
SES0024,2024-08-16,First_Team,MD_plus1,EX023,Activation_Passing_8v0,activation_drill,activation,Clear,31.6,7.3,3.0,221.85,20.2,1.43,0.0,15.0,2,3,12.38,2.21,50,55,1.0
SES0024,2024-08-16,First_Team,MD_plus1,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Clear,31.6,7.3,3.0,389.98,22.22,2.61,0.0,15.0,1,2,13.03,2.12,50,55,1.5
SES0024,2024-08-16,First_Team,MD_plus1,EX024,Activation_Positional_10v0,activation_drill,activation,Clear,31.6,7.3,3.0,419.71,24.49,4.41,0.0,15.0,3,3,16.09,2.57,50,55,1.5
SES0025,2024-08-18,First_Team,MD3,EX012,LargeGame_10v10_70x50_Open,large_sided_game,aerobic_conditioning,Clear,27.9,5.1,5.8,948.94,94.17,127.57,56.97,68.94,14,12,129.16,9.65,83,93,7.8
SES0025,2024-08-18,First_Team,MD3,EX029,Transition_5v5_35x30_Counter,transition_game,mixed_conditioning,Clear,27.9,5.1,5.8,703.51,98.35,64.82,39.25,71.78,22,24,104.79,11.74,88,98,8.0
SES0025,2024-08-18,First_Team,MD3,EX027,Possession_6v6_40x30_Neutral,possession_game,aerobic_conditioning,Clear,27.9,5.1,5.8,489.84,70.48,27.49,7.38,54.28,21,16,72.32,10.31,80,98,6.9
SES0025,2024-08-18,First_Team,MD3,EX036,Accel_Change_Direction_15m,sprint_drill,acceleration_development,Clear,27.9,5.1,5.8,110.31,116.76,10.62,4.87,65.04,15,14,69.4,15.97,79,94,8.5
SES0025,2024-08-18,First_Team,MD3,EX010,LargeGame_8v8_60x40_Possession,large_sided_game,aerobic_conditioning,Clear,27.9,5.1,5.8,939.7,83.15,117.82,72.08,69.94,16,15,103.95,11.14,83,95,6.9
SES0025,2024-08-18,First_Team,MD3,EX030,Transition_6v6_40x35_Wide,transition_game,mixed_conditioning,Clear,27.9,5.1,5.8,755.51,102.75,95.57,83.65,72.82,19,19,96.54,9.7,80,99,7.5
SES0026,2024-08-20,B_Team,MD3,EX029,Transition_5v5_35x30_Counter,transition_game,mixed_conditioning,Clear,18.1,7.6,4.8,735.54,104.26,89.63,47.43,73.83,23,22,94.99,10.22,84,93,7.4
SES0026,2024-08-20,B_Team,MD3,EX004,SSG_5v5_30x25_Transition,small_sided_game,mixed_conditioning,Clear,18.1,7.6,4.8,739.17,106.01,65.39,30.71,60.16,21,18,84.53,11.65,86,99,8.2
SES0026,2024-08-20,B_Team,MD3,EX027,Possession_6v6_40x30_Neutral,possession_game,aerobic_conditioning,Clear,18.1,7.6,4.8,496.15,76.34,34.91,8.69,50.97,16,15,75.62,10.29,83,88,5.7
